term_id,source_language,source_term,target_language,preferred_target,rejected_or_variant,scope,status,rationale
AGT-0052,de,Quadrik,id-ID,kuadrik,bentuk kuadratik,Brenner,admitted,Names the algebraic locus and keeps it distinct from a quadratic form
AGT-0053,de,quadratische Form,id-ID,bentuk kuadratik,kuadrik,Brenner,admitted,Names the polynomial form and keeps it distinct from its quadric zero locus
AGT-0054,de,algebraischer Abschluss,id-ID,ketertutupan aljabar,penutupan aljabar,whole_lane,provisional,Directly attested in the representative Indonesian algebraic-curve paper; admit when the noun first appears
AGT-0055,de,kurze exakte Sequenz,id-ID,barisan eksak pendek,urutan eksak pendek,Brenner,admitted,Uses barisan consistently for exact sequences and preserves the short qualifier
AGT-0056,de,Nichtnullteiler,id-ID,bukan pembagi nol,pembagi bukan nol,Brenner,admitted,Distinguishes a non-zero-divisor from a merely nonzero element
AGT-0057,de,Nenneraufnahme,id-ID,pelokalan,lokalisasi,Brenner,admitted,Established at the complete Unit 13 localization treatment and consistent with the earlier Unit 10 occurrence
AGT-0058,de,Punktideal,id-ID,ideal titik,,Brenner,admitted,Direct geometric rendering for the maximal ideal associated with a point
AGT-0059,de,artinsch,id-ID,Artin,Artinian,Brenner,admitted,Uses the mathematician-derived Indonesian adjective without an English suffix
AGT-0060,de,algebraisch abhängig,id-ID,bergantung secara aljabar,,Brenner,admitted,Preserves the dependence relation and its algebraic qualifier
AGT-0061,de,algebraisch unabhängig,id-ID,bebas secara aljabar,,Brenner,admitted,Paired antonym of bergantung secara aljabar
AGT-0062,de,Hilbertscher Nullstellensatz,id-ID,Nullstellensatz Hilbert,teorema nol Hilbert,Brenner,admitted,Matches the established wording already used in Units 2 3 and 10
AGT-0063,de,Koordinatenring,id-ID,gelanggang koordinat,,Brenner,admitted,Established lane terminology for the affine coordinate ring
AGT-0064,de,Einheitsideal,id-ID,ideal satuan,,Brenner,admitted,Names the ideal generated by the multiplicative identity
AGT-0065,de,Restekörper,id-ID,lapangan residu,lapangan sisa,Brenner,admitted,Distinguishes the residue field from a general quotient ring
AGT-0066,de,Erweiterungsideal,id-ID,ideal perluasan,,Brenner,admitted,Names the ideal generated after scalar or ring extension
AGT-0067,de,hauptoffene Menge,id-ID,himpunan terbuka utama,terbuka prinsipal,Brenner,admitted,Pairs the principal-open construction D(f) with established himpunan terminology
AGT-0068,de,K-Spektrum,id-ID,spektrum-K,spektrum K,Brenner,admitted,Preserves the base-field qualifier in the source construction
AGT-0069,de,Spektrumsabbildung,id-ID,pemetaan spektrum,,Brenner,admitted,Uses the established map equals pemetaan convention
AGT-0070,de,abgeschlossene Einbettung,id-ID,pembenaman tertutup,penyisipan tertutup,Brenner,admitted,Standard geometric rendering of a closed embedding
AGT-0071,de,Einsetzungshomomorphismus,id-ID,homomorfisme substitusi,homomorfisme evaluasi,Brenner,admitted,Names the substitution map while retaining its homomorphism structure
AGT-0072,de,Tensorprodukt,id-ID,hasil kali tensor,produk tensor,Brenner,admitted,Uses the established Indonesian hasil kali construction
AGT-0073,de,Produkttopologie,id-ID,topologi produk,,Brenner,admitted,Standard direct rendering of the product topology
AGT-0074,de,Identitätssatz,id-ID,teorema identitas,,Brenner,admitted,Standard name for the identity theorem in the comparison argument
AGT-0075,de,Funktor,id-ID,funktor,,whole_lane,admitted,Standard categorical term in Indonesian mathematical usage
AGT-0076,de,multiplikatives System,id-ID,sistem multiplikatif,,Brenner,admitted,Direct standard algebraic rendering used throughout Unit 13
AGT-0077,de,idempotentes Element,id-ID,unsur idempoten,elemen idempoten,Brenner,admitted,Preserves the established unsur terminology for ring elements
AGT-0078,de,Produktring,id-ID,gelanggang produk,cincin produk,Brenner,admitted,Consistent with the admitted gelanggang rendering of Ring
AGT-0079,de,zusammenhängender Ring,id-ID,gelanggang terhubung,,Brenner,admitted,Composes the admitted ring and connectedness terms transparently
AGT-0080,de,randlos oder clopen,id-ID,clopen,sekaligus terbuka dan tertutup,Brenner,admitted,Retains the internationally standard concise topology term after defining it explicitly
AGT-0081,de,saturiertes multiplikatives System,id-ID,sistem multiplikatif jenuh,,Brenner,admitted,Direct algebraic rendering with jenuh for saturation
AGT-0082,de,Nichtnullteiler,id-ID,unsur bukan pembagi nol,unsur reguler,Brenner,admitted,Transparent term that avoids ambiguity with a regular element in other contexts
AGT-0083,de,algebraische Funktion,id-ID,fungsi aljabar,fungsi algebraik,Brenner,admitted,Matches the established use of aljabar and distinguishes the local regular-function concept from a merely polynomial expression
AGT-0084,de,reguläre Funktion,id-ID,fungsi reguler,,Brenner,admitted,Standard concise synonym for an algebraic function on an open set
AGT-0085,de,Strukturring,id-ID,gelanggang struktur,,Brenner,admitted,Directly names the ring attached to an open set by the structure sheaf
AGT-0086,de,Schnittring,id-ID,gelanggang seksi,gelanggang irisan,Brenner,admitted,Uses section in the sheaf-theoretic sense rather than the unrelated set-theoretic meaning of intersection
AGT-0087,de,Strukturgarbe,id-ID,berkas struktur,,Brenner,admitted,Promotes the existing scheme-bridge term to the Brenner reader at its first classical-course occurrence
AGT-0088,de,Prägarbe,id-ID,praberkas,presheaf,Brenner,admitted,Transparent Indonesian formation paired with berkas and explicitly defined before use
AGT-0089,de,Garbe,id-ID,berkas,sheaf,Brenner,admitted,Established Indonesian mathematical rendering used consistently with berkas struktur
AGT-0090,de,Restriktionsabbildung,id-ID,pemetaan restriksi,pemetaan pembatasan,Brenner,admitted,Consistent with the lane convention that Abbildung is pemetaan and with standard function restriction terminology
AGT-0091,de,minimales Primideal,id-ID,ideal prima minimal,,Brenner,admitted,Preserves the order-theoretic qualifier without changing the algebraic object
AGT-0092,de,Ultrafilter,id-ID,ultrafilter,,Brenner,admitted,Retains the source label and immediately defines its course-specific maximal-multiplicative-system meaning
AGT-0093,de,holomorph,id-ID,holomorfik,,Brenner,admitted,Standard Indonesian complex-analysis adjective
AGT-0094,de,affine Varietät,id-ID,varietas afin,varietas affine,Brenner,admitted,Combines the established varietas and afin spellings at the first formal definition
AGT-0095,de,quasiaffine Varietät,id-ID,varietas kuasiafin,varietas kuasi-afin,Brenner,admitted,Uses the productive kuasi prefix without a hyphen and remains paired with varietas afin
AGT-0096,de,lokaler Ring,id-ID,gelanggang lokal,cincin lokal,Brenner,admitted,Standard commutative-algebra rendering consistent with the lane term gelanggang
AGT-0097,de,Lokalisierung an einem Primideal,id-ID,pelokalan pada ideal prima,lokalisasi pada ideal prima,Brenner,admitted,Extends the admitted pelokalan term with its exact prime-ideal qualifier
AGT-0098,de,topologischer Filter,id-ID,filter topologis,filter topologi,Brenner,admitted,Uses the established Indonesian adjective topologis for a topology-defined filter
AGT-0099,de,Umgebungsfilter,id-ID,filter lingkungan,filter ketetanggaan,Brenner,admitted,Pairs lingkungan with the established use of lingkungan terbuka for neighborhood
AGT-0100,de,gerichtete Menge,id-ID,himpunan terarah,himpunan terarah atas,Brenner,admitted,Standard order-theoretic rendering introduced with the direction convention
AGT-0101,de,gerichtetes System,id-ID,sistem terarah,sistem berarah,Brenner,admitted,Paired with himpunan terarah and the transition maps of the source definition
AGT-0102,de,Kolimes,id-ID,kolimit,limit langsung,Brenner,admitted,Uses the standard categorical borrowing and records the source synonym at first definition
AGT-0103,de,Halm,id-ID,tangkai,stalk,Brenner,admitted,Matches the admitted scheme-bridge term and defines it explicitly as a colimit
AGT-0104,de,Funktionenkörper,id-ID,lapangan fungsi,medan fungsi,Brenner,admitted,Extends the evidence-backed lapangan convention to the irreducible-variety function field
AGT-0105,de,direkter Limes,id-ID,limit langsung,limit direk,Brenner,admitted,Retains the familiar direct-limit synonym while using kolimit as the primary term
AGT-0106,de,irreduzibler Filter,id-ID,filter tak tereduksi,filter ireduksibel,Brenner,admitted,Composes the admitted filter topologis and tak tereduksi terms while preserving the source distinction from an ultrafilter
AGT-0107,de,generischer Filter,id-ID,filter generik,filter umum,Brenner,admitted,Uses the standard generik qualifier for the filter attached to an irreducible closed subset
AGT-0108,de,generischer Halm,id-ID,tangkai generik,tangkai umum,Brenner,admitted,Pairs the admitted tangkai term with the same generik qualifier as its filter
AGT-0109,de,Morphismus,id-ID,morfisme,morfisma,Brenner,admitted,Uses the established Indonesian algebraic-geometry borrowing and keeps pemetaan for the underlying map
AGT-0110,de,Faser,id-ID,serat,fiber,Brenner,admitted,Uses the established geometric term for the inverse image over a point
AGT-0111,de,erzwingende Algebra,id-ID,aljabar pemaksa,aljabar pemaksaan,Brenner,admitted,Transparent rendering of forcing algebra while the defining universal construction is stated explicitly
AGT-0112,de,Monoid,id-ID,monoid,,Brenner,admitted,Standard algebraic borrowing used with an explicit additive convention
AGT-0113,de,Monoidring,id-ID,gelanggang monoid,cincin monoid,Brenner,admitted,Extends the established gelanggang convention and keeps the construction visible
AGT-0114,de,Monoidhomomorphismus,id-ID,homomorfisme monoid,,Brenner,admitted,Parallel to the established homomorfisme algebra and ring terminology
AGT-0115,de,Grundring,id-ID,gelanggang dasar,cincin dasar,Brenner,admitted,Uses the established gelanggang convention for the coefficient ring of a monoid ring
AGT-0116,de,Laurent-Ring,id-ID,gelanggang Laurent,cincin Laurent,Brenner,admitted,Standard proper-name rendering for the localization with invertible variables
AGT-0117,de,R-wertiger Punkt,id-ID,titik bernilai R,titik R-valued,Brenner,admitted,Transparent rendering that preserves the coefficient-ring qualifier
AGT-0118,de,Differenzengruppe,id-ID,grup selisih,grup Grothendieck,Brenner,admitted,Literal course-facing term for the universal group completion while reserving the Grothendieck name as an alternate
AGT-0119,de,Kürzungsregel,id-ID,hukum pembatalan,hukum pencoretan,Brenner,admitted,Defines the cancellative law explicitly and records the familiar alternate wording
AGT-0120,de,Einheitengruppe,id-ID,grup satuan,,Brenner,admitted,Matches the established satuan rendering for invertible elements
AGT-0121,de,teilerstabil,id-ID,stabil terhadap pembagi,stabil-pembagi,Brenner,admitted,States the divisor-closure property directly in Indonesian
AGT-0122,de,Darstellung einer Gruppe,id-ID,representasi grup,perwakilan grup,Brenner,admitted,Standard representation-theory term used for a homomorphism into linear automorphisms
AGT-0123,de,monomiale Kurve,id-ID,kurva monomial,kurva monom,Brenner,admitted,Direct algebraic-geometric rendering tied to a monomial parametrization
AGT-0124,de,numerisches Monoid,id-ID,monoid numerik,monoid numeris,Brenner,admitted,Uses numerik for the discrete finitely generated submonoid of the natural numbers
AGT-0125,de,Führungszahl,id-ID,bilangan konduktor,bilangan penghantar,Brenner,admitted,Names the least threshold beyond which every natural number lies in the numerical monoid
AGT-0126,de,Einbettungsdimension,id-ID,dimensi penyematan,dimensi embedding,Brenner,admitted,Matches the established pembenaman family while naming the minimum generator count
AGT-0127,de,Multiplizität,id-ID,multiplisitas,multiplikitas,Brenner,admitted,Standard algebraic-geometry borrowing for the least positive element invariant
AGT-0128,de,Singularitätsgrad,id-ID,derajat singularitas,tingkat singularitas,Brenner,admitted,Transparent name for the number of gaps of a numerical monoid
AGT-0129,de,teilerfremd,id-ID,saling prima,relatif prima,Brenner,admitted,Standard Indonesian number-theory expression for a family with greatest common divisor one
AGT-0130,de,Restklassendarstellung,id-ID,penyajian sebagai gelanggang faktor,penyajian kelas sisa,Brenner,admitted,Names a quotient-ring presentation rather than a mere residue representative
AGT-0131,de,Ganzheit,id-ID,keintegralan,integralitas,Brenner,admitted,Established abstract-algebra noun paired with integral atas
AGT-0132,de,Ganzheitsgleichung,id-ID,persamaan keintegralan,persamaan integral,Brenner,admitted,Names the monic equation defining integrality
AGT-0133,de,ganzes Element,id-ID,unsur integral,elemen bulat,Brenner,admitted,Uses the standard integral-element terminology
AGT-0134,de,ganzer Abschluss,id-ID,penutupan integral,tutupan integral,Brenner,admitted,Uses the standard commutative-algebra construction name
AGT-0135,de,ganz abgeschlossen,id-ID,tertutup secara integral,tertutup integral,Brenner,admitted,Explicitly marks the integrality sense of closed
AGT-0136,de,ganzer Ringhomomorphismus,id-ID,homomorfisme integral,homomorfisme gelanggang integral,Brenner,admitted,Attaches integrality to the homomorphism without misreading the ambient rings
AGT-0137,de,adjungierte Matrix,id-ID,matriks adjugat (adjoin klasik),matriks adjoin,Brenner,admitted,Distinguishes the classical adjugate from an analytic adjoint
AGT-0138,de,binomiale Gleichung,id-ID,persamaan binomial,persamaan binom,Brenner,admitted,Standard term for an equation between two monomials
AGT-0139,de,gedrehte Kubik,id-ID,kurva kubik terpilin,kubik terpuntir,Brenner,admitted,Matches the frozen reader caption and identifies the twisted cubic as a curve
AGT-0140,de,Normalisierung,id-ID,normalisasi,,Brenner,admitted,Standard commutative-algebra term for integral closure inside the fraction field
AGT-0141,de,normaler Integritätsbereich,id-ID,domain integral normal,domain normal,Brenner,admitted,Keeps the integral-domain hypothesis explicit
AGT-0142,de,torsionsfrei,id-ID,bebas torsi,tanpa torsi,Brenner,admitted,Established algebraic term for the cancellation of positive multiples
AGT-0143,de,polyedrischer Kegel,id-ID,kerucut polihedral,kerucut poliedral,Brenner,admitted,Standard convex-geometric rendering used in the monoid-normalization argument
AGT-0144,de,Halbraum,id-ID,setengah ruang,setengah-ruang,Brenner,admitted,Natural Indonesian compound for a half-space defined by a linear inequality
AGT-0145,de,Führungsideal,id-ID,ideal konduktor,ideal penghantar,Brenner,admitted,Aligns the ideal with the admitted bilangan konduktor terminology
AGT-0146,de,duales Monoid,id-ID,monoid dual,monoid rangkap,Brenner,admitted,Standard dual-construction terminology
AGT-0147,de,Divisorenklassengruppe,id-ID,grup kelas pembagi,grup kelas divisor,Brenner,admitted,Transparent standard name for the divisor class group
AGT-0148,de,lokale Eigenschaft,id-ID,sifat lokal,properti lokal,Brenner,admitted,Standard mathematical usage for a property detected after localization
AGT-0149,de,Einheitswurzel,id-ID,akar satuan,akar unit,Brenner,admitted,Standard Indonesian complex-analysis and algebra term
AGT-0150,de,diskreter Bewertungsring,id-ID,gelanggang valuasi diskret,gelanggang penilaian diskret,Brenner,admitted,Uses the standard valuation-theory rendering and avoids the ordinary-language sense of assessment
AGT-0151,de,diskrete Bewertung,id-ID,valuasi diskret,penilaian diskret,Brenner,admitted,Standard Indonesian terminology for a surjective integer-valued valuation
AGT-0152,de,Ordnung (Bewertungstheorie),id-ID,orde,urutan,Brenner,admitted,Names the valuation exponent rather than an ordering relation
AGT-0153,de,Verschwindungsordnung,id-ID,orde pelenyapan,orde menghilang,Brenner,admitted,Standard algebraic-geometric term for multiplicity at a point
AGT-0154,de,Ortsuniformisierende,id-ID,uniformisator (pembangkit ideal maksimal),parameter penyeragam lokal,Brenner,admitted,Retains the conventional valuation-theory loanword while glossing its defining local role at first use
AGT-0155,de,formale Ableitung,id-ID,turunan formal,derivatif formal,Brenner,admitted,Matches established Indonesian calculus and algebra terminology
AGT-0156,de,formales Ableiten,id-ID,pendiferensialan formal,diferensiasi formal,Brenner,admitted,Names the operation rather than the resulting derivative
AGT-0157,de,mehrfache Nullstelle,id-ID,akar multipel,akar ganda,Brenner,admitted,Uses the standard polynomial-root term without suggesting multiplicity exactly two
AGT-0158,de,Potenzreihe,id-ID,deret pangkat,deret kuasa,Brenner,admitted,Established Indonesian analysis and algebra terminology
AGT-0159,de,Potenzreihenring,id-ID,gelanggang deret pangkat,cincin deret kuasa,Brenner,admitted,Combines the admitted ring and power-series terms consistently
AGT-0160,de,Idealprodukt,id-ID,hasil kali ideal,produk ideal,Brenner,admitted,Natural algebraic rendering consistent with products of submodules
AGT-0161,de,totale Teilbarkeitsbeziehung,id-ID,relasi keterbagian total,hubungan pembagian total,Brenner,admitted,Distinguishes the total comparability of divisibility from numerical division
AGT-0162,de,Primelement,id-ID,unsur prima,elemen prima,Brenner,admitted,Standard commutative-algebra term
AGT-0163,de,Assoziiertheit,id-ID,asosiasi,kesekawanan,Brenner,admitted,Names equivalence up to multiplication by a unit
AGT-0164,de,noethersch,id-ID,Noether,Noetherian,Brenner,admitted,Uses the established Indonesian adjectival form for rings and modules
AGT-0165,de,Untermodul,id-ID,submodul,modul bagian,Brenner,admitted,Standard module-theory terminology
AGT-0166,de,Restklassenmodul,id-ID,modul faktor,modul kelas residu,Brenner,admitted,Standard quotient-module terminology
AGT-0167,de,Restklassenkörper,id-ID,lapangan residu,lapangan kelas residu,Brenner,admitted,Standard local-algebra terminology for the residue field
AGT-0168,de,minimale Erzeugendenzahl,id-ID,banyak pembangkit minimal,jumlah generator minimum,Brenner,admitted,Names the minimum cardinality of a finite module or ideal generating family
AGT-0169,de,Kotangentialraum,id-ID,ruang kotangen,ruang kotangensial,Brenner,admitted,Standard algebraic-geometric term for m/m^2 over the residue field
AGT-0170,de,regulärer Ring,id-ID,gelanggang reguler,gelanggang teratur,Brenner,admitted,Uses the standard Indonesian spelling of the algebraic-geometry borrowing and avoids the ordinary sense of regular
AGT-0171,de,glatter Punkt,id-ID,titik mulus,titik licin,Brenner,admitted,Established Indonesian geometric term paired explicitly with nonsingular
AGT-0172,de,singulärer Punkt,id-ID,titik singular,titik singularitas,Brenner,admitted,Standard algebraic-geometry rendering and counterpart of titik mulus
AGT-0173,de,Tangente,id-ID,garis singgung,tangen,Brenner,admitted,Uses the familiar geometric term for the line determined by the lowest homogeneous component
AGT-0174,de,Tangentialabbildung,id-ID,pemetaan tangen,pemetaan tangensial,Brenner,admitted,Names the linear map given by the partial derivatives at a point
AGT-0175,de,totales Differential,id-ID,diferensial total,turunan total,Brenner,admitted,Standard multivariable-calculus synonym for the tangent map
AGT-0176,de,partielle Ableitung,id-ID,turunan parsial,derivatif parsial,Brenner,admitted,Standard Indonesian multivariable-calculus terminology
AGT-0177,de,Jacobi-Matrix,id-ID,matriks Jacobi,matriks Jacobian,Brenner,admitted,Uses the conventional proper-name form while preserving the matrix object
AGT-0178,de,Kettenregel,id-ID,aturan rantai,kaidah rantai,Brenner,admitted,Standard calculus term for composition of derivative maps
AGT-0179,de,geometrisch reduziert,id-ID,tereduksi secara geometris,tereduksi geometris,Brenner-editorial,admitted,Names reducedness after scalar extension to an algebraic closure in the visible Exercise 22.8 repair
AGT-0180,de,Kartesisches Blatt,id-ID,folium Descartes,daun Descartes,Brenner,admitted,Uses the standard international mathematical name rather than a literal Cartesian-sheet rendering
AGT-0181,de,lokale Diffeomorphie,id-ID,difeomorfisme lokal,kedifeomorfikan lokal,Brenner,admitted,Standard differential-geometric name for a diffeomorphism on suitable neighborhoods
AGT-0182,de,Derivation,id-ID,derivasi,turunan aljabar,Brenner,admitted,Standard algebraic term for a linear map satisfying the Leibniz rule
AGT-0183,de,Leibniz-Regel,id-ID,aturan Leibniz,kaidah Leibniz,Brenner,admitted,Preserves the conventional proper name for the product rule
AGT-0184,de,K-Algebra von endlichem Typ,id-ID,aljabar K bertipe hingga,aljabar K terhingga dihasilkan,Brenner,admitted,Matches finite-type algebra without conflating it with finite-dimensionality
AGT-0185,de,Hilbert-Samuel-Multiplizität,id-ID,multiplisitas Hilbert-Samuel,multipelitas Hilbert-Samuel,Brenner,admitted,Extends the admitted multiplisitas term to the named local invariant
AGT-0186,de,Krulldimension,id-ID,dimensi Krull,dimensi Krull gelanggang,Brenner,admitted,Standard eponymous commutative-algebra term
AGT-0187,de,Primidealkette,id-ID,rantai ideal prima,rantai prima,Brenner,admitted,Names a strict chain of prime ideals and preserves the ideal objects
AGT-0188,de,Reduktion,id-ID,reduksi,reduksi gelanggang,Brenner,admitted,Names the quotient of a ring by its nilradical in context
AGT-0189,de,Monoid-Ideal,id-ID,ideal monoid,ideal pada monoid,Brenner,admitted,Distinguishes a monoid ideal from the associated monomial ideal in the monoid ring
AGT-0190,de,numerische Multiplizität,id-ID,multiplisitas numerik,multiplisitas bilangan,Brenner,admitted,Names the least positive element invariant of a numerical monoid
AGT-0191,de,Hilbert-Funktion,id-ID,fungsi Hilbert,fungsi Hilbert-Samuel,Brenner,admitted,Uses the standard named function while retaining its local context
AGT-0192,de,homogene Zerlegung,id-ID,dekomposisi homogen,penguraian homogen,Brenner,admitted,Names decomposition into homogeneous components
AGT-0193,de,formale Potenzreihe,id-ID,deret pangkat formal,deret kuasa formal,Brenner,admitted,Extends the admitted power-series term while marking the algebraic formal-series setting
AGT-0194,de,eingesetzte Potenzreihe,id-ID,deret pangkat hasil substitusi,deret pangkat tersubstitusi,Brenner,admitted,Names the composed formal series without suggesting numerical evaluation
AGT-0195,de,Einsetzen,id-ID,substitusi,penyulihan,Brenner,admitted,Matches the admitted substitution-homomorphism terminology
AGT-0196,de,konstanter Term,id-ID,suku konstan,istilah konstan,Brenner,admitted,Standard polynomial and formal-series terminology
AGT-0197,de,Anfangsterm,id-ID,suku awal,suku terdepan,Brenner,admitted,Names the lowest-degree nonzero term in the local power-series context
AGT-0198,de,komponentenweise,id-ID,komponen demi komponen,secara komponen,Brenner,admitted,Makes coordinatewise action explicit in vector-valued maps
AGT-0199,de,Algebraautomorphismus,id-ID,automorfisme aljabar,automorfisma aljabar,Brenner,admitted,Standard Indonesian algebraic term for an algebra automorphism
AGT-0200,de,Ableitungsvektor,id-ID,vektor turunan,vektor derivatif,Brenner,admitted,Names the coordinate vector of derivatives without conflating it with a derivation
AGT-0201,de,Raumkurve,id-ID,kurva ruang,kurva spasial,Brenner,admitted,Standard geometry term for a curve embedded in affine three-space
AGT-0202,de,formale Parametrisierung,id-ID,parametrisasi formal,parametrisasi deret pangkat,Brenner,admitted,Names a parametrization by formal power series
